entity_id,state,last_changed
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T12:41:03.734Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T12:41:07.947Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T12:42:07.536Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T12:43:13.182Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T12:43:39.200Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T13:43:06.977Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T13:43:21.978Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T13:45:10.391Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T13:45:25.392Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T13:48:43.769Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T13:48:58.771Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T16:08:47.263Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T16:09:02.263Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T17:32:13.850Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T17:32:28.852Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T17:33:19.594Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T17:33:34.594Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T17:34:50.408Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T17:35:05.409Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T17:36:42.550Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T17:36:57.552Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T17:50:43.298Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T17:50:58.299Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T19:23:50.332Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T19:24:09.308Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T19:36:00.472Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T19:36:21.179Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T20:30:16.426Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T20:30:31.429Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T20:32:11.324Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T20:32:26.325Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T21:26:44.568Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T21:26:59.570Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T21:28:37.902Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T21:28:52.903Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T07:08:41.103Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T07:08:56.105Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T09:05:32.233Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T09:05:47.234Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:04:42.011Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:04:57.012Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:07:43.181Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:07:58.183Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:09:55.285Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:10:10.286Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:11:46.180Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:12:01.182Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:17:26.085Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:17:44.736Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:29:15.667Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:29:30.668Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:30:45.498Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:31:00.500Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-28T10:42:13.047Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-28T10:42:28.049Z
